FL_DATE,OP_CARRIER,FLL,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ACTUAL_ELAPSED_TIME,DISTANCE
1/1/2018,B6,BWI,1036,1103,27,1350,41,167,1005
1/1/2018,B6,IAH,540,554,14,850,23,176,937
1/1/2018,B6,LGA,912,1019,67,1257,69,158,937
1/1/2018,B6,PIT,1445,1510,25,1627,15,77,266
1/1/2018,B6,LAS,1255,1304,9,1437,29,93,266
1/1/2018,B6,MCO,841,832,-9,949,-19,77,402
1/1/2018,B6,DTW,1049,1042,-7,1159,-12,77,402
1/1/2018,B6,FLL,1127,1151,24,1444,29,173,901
1/1/2018,B6,MYR,1455,1530,35,1733,18,123,901
1/1/2018,B6,ACY,636,636,0,1007,8,211,1121
1/1/2018,B6,MSP,709,702,-7,1012,11,190,1121
1/1/2018,B6,PHX,715,713,-2,947,-8,154,1028
1/1/2018,B6,DTW,707,749,42,922,27,93,399
1/1/2018,B6,MSP,1007,1007,0,1122,-8,75,413
1/1/2018,B6,DTW,741,757,16,933,5,96,413
1/1/2018,B6,LGA,1159,1229,30,1732,33,243,1674
1/1/2018,B6,TPA,950,947,-3,1218,-13,151,1035
1/1/2018,B6,MYR,2000,2033,33,2317,8,284,1826
1/1/2018,B6,TPA,2359,11,12,554,2,223,1826
1/1/2018,B6,FLL,700,857,117,1235,119,218,1237
1/1/2018,B6,LAS,2101,2150,49,30,29,160,1237
1/1/2018,B6,ORD,2059,2109,10,2,-28,293,1990
1/1/2018,B6,MCO,2255,2253,-2,505,-6,252,1990
1/1/2018,B6,IAH,926,1006,40,1334,21,148,1182
1/1/2018,B6,ATL,2359,2354,-5,805,-1,311,2411
1/1/2018,B6,BWI,1943,2000,17,2245,-24,345,2411
1/1/2018,B6,RSW,1945,2122,97,2346,86,144,944
1/1/2018,B6,ACY,1648,1730,42,2023,45,173,1011
1/1/2018,B6,FLL,1707,1718,11,2039,11,201,1204
1/1/2018,B6,MCO,1330,1322,-8,1633,6,191,1204
1/1/2018,B6,CAK,1645,1653,8,1949,-16,356,2446
1/1/2018,B6,LAS,2115,2107,-8,501,-19,294,2446
1/1/2018,B6,PHL,2015,2014,-1,2229,-29,255,1626
1/1/2018,B6,LAS,2358,2351,-7,533,-3,222,1626
1/1/2018,B6,ATL,2110,2120,10,452,-5,272,2343
1/1/2018,B6,LAX,1655,1648,-7,2018,30,390,2343
1/1/2018,B6,ATL,1930,1922,-8,2048,-15,86,301
